编号,音乐,获得方法,其他,类型,BGM
14,金属,支线「迈向无人知晓的明天」任务报酬,,4,41672545
14,Dragonsong　-千年龙诗-,3.3主线任务奖励,,5,41672542
15,玛托雅的洞窟　～苍穹～,玛托雅的洞穴/5000金  ,,1,41672526
15,地壳,主线「险峻溪谷」任务报酬,,2,482633521
15,雪上的足迹,希瓦歼殛战,陈旧的乐谱：雪上的足迹,3,34274403
15,金属 - 正义无情,支线「迈向无人知晓的明天」任务报酬,,4,482636405
15,第七星历,成就报酬(100曲入手),,5,28409407
16,歇宿,龙堡参天高地(32:23)/5000金  ,,1,41672498
16,漆黑的艾达,死者宫殿：铁饰宝藏,,2,482636431
16,忘却的彼岸,希瓦歼殛战,陈旧的乐谱：忘却的彼岸,3,34274404
16,指数崩坏,支线「宿命的未来」任务报酬,,4,482633522
16,灾厄蔓延,水城 宝物库/宝箱,,5,28409413
17,迎风,库尔扎斯西部高地?A:S怪物狩猎,陈旧的乐谱：迎风,1,41672491
17,渎神魔王,石场水车交换/格尔莫拉陶器碎片1个,,2,482633511
17,电闪雷鸣,拉姆歼殛战,陈旧的乐谱：电闪雷鸣,3,34274384
17,起义,支线「神圣审判」任务报酬,,4,
17,战斗1.X,金蝶游乐场交换/20000金蝶币,,5,28409342
18,人王,翻云雾海?A:S怪物狩猎,陈旧的乐谱：人王,1,41672511
18,幽幻夜雾,石场水车交换/格尔莫拉陶器碎片5个,,2,482633509
18,平衡,索菲亚歼殛战,陈旧的乐谱：平衡,3,482633535
18,无限循环,田园郡、贝尔塔纳/亚历山大齿轮 1,,4,482633523
18,超越极限,水城 宝物库/宝箱,,5,28409389
19,缺失的书页,龙堡内陆低地?A:S怪物狩猎,陈旧的乐谱：缺失的书页,1,41672524
19,死亡报告,石场水车交换/格尔莫拉陶器碎片10个,,2,482633510
19,斩,奥丁歼灭战,陈旧的乐谱：斩,3,28409410
19,战乱,金蝶游乐场/30000金蝶币,,4,34274378
19,祈祷之歌,各国公寓大厅 杂用商人/5000金,,5,540252
20,乘上西风,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金 ,,1,28409307
20,圣座,圣教中枢 伊修加德教皇厅,,2,41672517
20,无尽苍空,俾斯麦歼殛战,陈旧的乐谱：无尽苍空,3,41672521
20,螺旋,金蝶游乐场/30000金蝶币,,4,28409412
20,永远的离别,主线「永远的毕业生」报酬,,5,28409361
21,沉静,格里达尼亚新街(11:11)麦森塔/5000金,,1,28409320
21,草藪を掻きわけ,支线「天山深境 索姆阿尔灵峰」报酬,没找到此谱？,2,27586630
21,灾厄狂起,俾斯麦歼殛战,陈旧的乐谱：灾厄狂起,3,41672522
21,以太圈,田园郡、贝尔塔纳/玛哈古钱 1,,4,41672532
22,灼热之地,乌尔达哈现世回廊(10:9)劳力士/5000金,,1,28409285
22,另一块砖,主线「终结来临」报酬,,2,482633540
22,武神降临,罗波那歼殛战,陈旧的乐谱：武神降临,3,41672507
22,虚无之棺,田园郡、贝尔塔纳/玛哈古钱 1,,4,41672534
23,拉诺西亚的疾风,水城 宝物库/宝箱,,1,27586622
23,不屈之刃,罗波那歼殛战,陈旧的乐谱：不屈之刃,3,41672508
23,雨中泪,田园郡、贝尔塔纳/玛哈大古钱 1,,4,482636424
24,大地低语,水城 宝物库/宝箱,,1,27586627
24,无限,祖尔宛歼殛战,陈旧的乐谱：无限,3,482636463
24,千面,田园郡、贝尔塔纳/玛哈大古钱 1,,4,482633505
25,萨纳兰的黄昏,水城 宝物库/宝箱,,1,537615
25,希望之地,支线「影之国」报酬,,4,482636460
26,库尔札斯的寂静,水城 宝物库/宝箱,,1,27586637
26,泡影,支线「影之国」报酬,,4,482633538
27,贵族沉眠,伊修加德砥柱层(6:10)芙莉妮/5000金,,1,41672496
28,夜雾缭绕,伊修加德砥柱层(6:10)芙莉妮/5000金,,1,41672519
29,天上世界,阿巴拉提亚云海?A:S怪物狩猎,陈旧的乐谱：天上世界,1,41672502
30,熏灰,"南萨纳兰(23.2, 14.1)蜥蜴人杂用商人 白钢刀币3",,1,28409335
31,豁达的家,"阿巴拉提亚云海(7.0, 14.2)商人鲁纳瓦努 白骨币3",,1,28409335
32,安乐小屋,艾欧泽亚主城贩卖/5000金,,1,27586643
33,倒影,摩杜纳贩卖 诗学/1000,,1,28409378
34,心灵的归处,住宅区和公寓大厅/5000金,,1,27586653
35,家园,田园郡 杂用商人 5000金,,1,41672528
36,小小捣蛋鬼,妖精杂用商人/金叶币3,,1,28409346
37,离群一族,做买卖/伪黑铜币3,,1,482636403
38,边境,丧灵钟用诗学交换/1000,,1,28409377
39,一瞬的光彩,东萨纳兰 跨天桥 茶茶姆恩/5000金,FATE「跨天桥的英雄」3连胜利时贩卖,1,28409373
40,海风飘香,小麦酒港的杂用商人/5000金,,1,28409311
41,厚于利刃,兵团徽章/300,,1,34274386
99,啪啪呀,彩蛋节2017,,6,34274370
99,红莲节,红莲祭2017,,6,34274385
99,Heavensward　-飞向苍穹-,新生祭2017,,6,41672488
99,守护天节,守护天节2017,,6,27586670
99,彻夜狂欢,守护天节2017,,6,482636446
99,星芒节,星芒祭2017,,6,27586671
99,降神节,降神祭2018,,6,27586668
42,スカイロード,翻云雾海?A:S怪物狩猎,陈旧的乐谱：スカイロード,1,41672514
43,静寂の星空,龙堡内陆低地?A:S怪物狩猎,陈旧的乐谱：静寂の星空,1,41672529
44,壁の向こう側,ギラバニア辺境地帯FATE「樹人の長老キルニス」掉落,,1,
45,焔の海,紅玉海FATE「ダイミョウユメミ」掉落,,1,
46,地平線に沈め,兵团徽章/300,,1,
47,忍びの刃,东拉诺西亚(20:20)/5000金,,1,34274399
48,潮風の集う街,宝物庫ウズネアカナル/宝箱,,1,27586620
49,木々のさざめく街,宝物庫ウズネアカナル/宝箱,,1,27586626
50,運命の交わる街,宝物庫ウズネアカナル/宝箱,,1,27586632
23,有毒植物,草木庭园 圣茉夏娜植物园,,2,41672530
24,ビブリオフォビア,秘本宝库 迦巴勒幻想图书馆,,2,482636447
25,啓示,極スサノオ討滅戦,陈旧的乐谱：啓示,3,
26,美の謀略,極ラクシュミ討滅戦,陈旧的乐谱：美の謀略,3,
21,宝石,雲海探索ディアディム諸島 ロックボックス鑑定,,5,41672503
22,勝利への猛攻,主线「想定外の協力者」报酬,,5,482636450
23,帝国の意志,主线「オメガ起動」报酬,,5,27586715
24,鋼の理念,主线「オメガ起動」报酬,,5,27586716
25,小波,ハウジングエリア（:）/5000金,,5,
26,鳥のさえずり,ハウジングエリア（:）/5000金,,5,
27,雨音,ハウジングエリア（:）/5000金,,5,
28,ヒグラシ,ハウジングエリア（:）/5000金,,5,
