number,music_name,get_id,how to get,notice,how to get,notice,how to get,notice,category
15,玛托雅的洞窟　～苍穹～,0,玛托雅的洞穴/5000金  ,,,,,,1
16,歇宿,0,龙堡参天高地(32:23)/5000金  ,,,,,,1
17,迎风,1,库尔扎斯西部高地?A:S怪物狩猎,陈旧的乐谱：迎风,,,,,1
18,人王,1,翻云雾海?A:S怪物狩猎,陈旧的乐谱：人王,,,,,1
19,缺失的书页,1,龙堡内陆低地?A:S怪物狩猎,陈旧的乐谱：缺失的书页,,,,,1
20,乘上西风,0,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金 ,,,,,,1
21,沉静,0,格里达尼亚新街(11:11)麦森塔/5000金,,,,,,1
22,灼热之地,0,乌尔达哈现世回廊(10:9)劳力士/5000金,,,,,,1
11,凶兆,0,田园郡(6:5)希丝梅娜/禁书750,,,,,,5
8,越过地平线,1,财宝传说 破舰岛/黑涡传说破舰岛,,,,,,2
9,密道,1,凛冽洞天 披雪大冰壁,,,,,,2
10,万世箴言,1,学识宝库 迦巴勒幻想图书馆,,,,,,2
11,坚不可摧,1,博物战舰 无限回廊,,,,,,2
12,谢罪之诗,1,天龙宫殿 忆罪宫,,,,,,2
9,水手遇难,1,利维亚桑歼殛战,陈旧的乐谱：水手遇难,,,,,3
10,混沌的漩涡,1,利维亚桑歼殛战,陈旧的乐谱：混沌的漩涡,,,,,3
11,贤王莫古尔·莫古十二世,1,莫古力贤王歼殛战,陈旧的乐谱：贤王莫古尔·莫古十二世,,,,,3
12,绝命怒嚎,1,尼德霍格传奇征龙战,陈旧的乐谱：绝命怒嚎,,,,,3
13,大桥上的死斗　～重生～,1,大桥上的决斗,陈旧的乐谱：大桥上的死斗,,,,,3
14,死斗　～苍穹～,0,金蝶游乐场/20000金蝶币,,,,,,3
12,苍翼,2,飞空艇探索(云海18),陈旧的乐谱：苍翼,,,,,5
13,艾欧泽亚的守护者,9,成就报酬/50曲入手,,,,,,5
23,拉诺西亚的疾风,2,水城 宝物库/宝箱,,,,,,1
24,大地低语,2,水城 宝物库/宝箱,,,,,,1
25,萨纳兰的黄昏,2,水城 宝物库/宝箱,,,,,,1
14,Dragonsong　-千年龙诗-,2,3.3主线任务奖励,,,,,,5
999,啪啪呀,9,彩蛋节2017,,,,,,6
999,红莲节,9,红莲祭2017,,,,,,6
999,Heavensward　-飞向苍穹-,9,新生祭2017,,,,,,6
26,库尔札斯的寂静,2,水城 宝物库/宝箱,,,,,,1
27,贵族沉眠,0,伊修加德砥柱层(6:10)芙莉妮/5000金,,,,,,1
28,夜雾缭绕,0,伊修加德砥柱层(6:10)芙莉妮/5000金,,,,,,1
29,天上世界,1,阿巴拉提亚云海?A:S怪物狩猎,陈旧的乐谱：天上世界,,,,,1
30,熏灰,0,"南萨纳兰(23.2, 14.1)蜥蜴人杂用商人 白钢刀币3",,,,,,1
31,豁达的家,0,"阿巴拉提亚云海(7.0, 14.2)商人鲁纳瓦努 白骨币3",,,,,,1
32,安乐小屋,0,艾欧泽亚主城贩卖/5000金,,,,,,1
33,倒影,0,摩杜纳贩卖 诗学/1000,,,,,,1
34,心灵的归处,0,住宅区和公寓大厅/5000金,,,,,,1
35,家园,0,田园郡 杂用商人 5000金,,,,,,1
13,银泪,1,幻龙残骸 密约之塔,,,,,,2
14,永眠,1, 天山绝顶 索姆阿尔灵峰,,,,,,2
15,地壳,2,主线「险峻溪谷」任务报酬,,,,,,2
15,雪上的足迹,1,希瓦歼殛战,陈旧的乐谱：雪上的足迹,,,,,3
16,忘却的彼岸,1,希瓦歼殛战,陈旧的乐谱：忘却的彼岸,,,,,3
17,电闪雷鸣,1,拉姆歼殛战,陈旧的乐谱：电闪雷鸣,,,,,3
18,女神,1,索菲亚歼殛战,陈旧的乐谱：女神,,,,,3
12,父子之罪,1,支线「迈向无人知晓的明天」任务报酬,,,,,,4
13,轨迹,1,支线「迈向无人知晓的明天」任务报酬,,,,,,4
14,金属,1,支线「迈向无人知晓的明天」任务报酬,,,,,,4
15,金属 - 正义无情,1,支线「迈向无人知晓的明天」任务报酬,,,,,,4
16,指数崩坏,1,支线「宿命的未来」任务报酬,,,,,,4
17,起义,1,支线「神圣审判」任务报酬,,,,,,4
15,第七星历,9,成就报酬(100曲入手),,,,,,5
16,灾厄蔓延,2,水城 宝物库/宝箱,,,,,,5
17,战斗1.X,0,金蝶游乐场交换/20000金蝶币,,,,,,5
999,守护天节,9,守护天节2017,,,,,,6
999,彻夜狂欢,9,守护天节2017,,,,,,6
36,小小捣蛋鬼,0,妖精杂用商人/金叶币3,,,,,,1
37,离群一族,0,做买卖/伪黑铜币3,,,,,,1
38,边境,0,丧灵钟用诗学交换/1000,,,,,,1
39,一瞬的光彩,0,东萨纳兰 跨天桥 茶茶姆恩/5000金,FATE「跨天桥的英雄」3连胜利时贩卖,,,,,1
40,海风飘香,0,小麦酒港的杂用商人/5000金,,,,,,1
41,厚于利刃,0,兵团徽章/300,,,,,,1
16,漆黑的艾达,1,死者宫殿：铁饰宝藏,,,,,,2
17,渎神魔王,1,石场水车交换/格尔莫拉陶器碎片1个,,,,,,2
18,幽幻夜雾,1,石场水车交换/格尔莫拉陶器碎片5个,,,,,,2
19,死亡报告,1,石场水车交换/格尔莫拉陶器碎片10个,,,,,,2
20,圣座,1,圣教中枢 伊修加德教皇厅,,,,,,2
21,草藪を掻きわけ,2,支线「天山深境 索姆阿尔灵峰」报酬,没找到此谱？,,,,,2
22,另一块砖,2,主线「终结来临」报酬,,,,,,2
19,斩,1,奥丁歼灭战,陈旧的乐谱：斩,,,,,3
20,无尽苍空,1,俾斯麦歼殛战,陈旧的乐谱：无尽苍空,,,,,3
21,灾厄狂起,1,俾斯麦歼殛战,陈旧的乐谱：灾厄狂起,,,,,3
22,武神降临,1,罗波那歼殛战,陈旧的乐谱：武神降临,,,,,3
23,不屈之刃,1,罗波那歼殛战,陈旧的乐谱：不屈之刃,,,,,3
24,无限,1,祖尔宛歼殛战,陈旧的乐谱：无限,,,,,3
18,无限循环,0,田园郡、贝尔塔纳/亚历山大齿轮 1,,,,,,4
19,战乱,0,金蝶游乐场/30000金蝶币,,,,,,4
20,螺旋,0,金蝶游乐场/30000金蝶币,,,,,,4
21,以太圈,0,田园郡、贝尔塔纳/玛哈古钱 1,,,,,,4
22,虚无之棺,0,田园郡、贝尔塔纳/玛哈古钱 1,,,,,,4
23,雨中泪,0,田园郡、贝尔塔纳/玛哈大古钱 1,,,,,,4
24,千面,0,田园郡、贝尔塔纳/玛哈大古钱 1,,,,,,4
25,希望之地,1,支线「影之国」报酬,,,,,,4
26,泡影,1,支线「影之国」报酬,,,,,,4
18,超越极限,2,水城 宝物库/宝箱,,,,,,5
19,祈祷之歌,0,各国公寓大厅 杂用商人/5000金,,,,,,5
20,永远的离别,2,主线「永远的毕业生」报酬,,,,,,5
999,星芒节,9,星芒祭2017,,,,,,6
999,降神节,9,降神祭2018,,,,,,6
