编号,音乐,位置,坐标,NPC,其他,备注,类型,BGM
17,迎风,库尔扎斯西部高地,,,参加A或S怪物狩猎，一定几率获得陈旧乐谱,炼金制作Lv60·秘籍3,1,41672491
17,渎神魔王,黑衣森林南部林区,x25y20,艾·乌纳·科特罗,格尔莫拉陶器碎片1个,,2,482633511
17,电闪雷鸣,拉姆歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv50·秘籍4,3,34274384
17,起义,,,,支线「神圣审判」任务报酬,,4,
17,战斗1.X,金蝶游乐场,x5y6,纪念品兑换员,20000金蝶币,,5,28409342
18,人王,翻云雾海,,,参加A或S怪物狩猎，一定几率获得陈旧乐谱,炼金制作Lv60·秘籍1,1,41672511
18,幽幻夜雾,黑衣森林南部林区,x25y20,艾·乌纳·科特罗,格尔莫拉陶器碎片5个,,2,482633509
18,平衡,索菲亚歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv60·秘籍2,3,482633535
18,无限循环,田园郡,x5y5,贝尔塔纳,亚历山大齿轮x1,,4,482633523
18,超越极限,水城 宝物库,,,宝箱,,5,28409389
19,缺失的书页,龙堡内陆低地,,,参加A或S怪物狩猎，一定几率获得陈旧乐谱,炼金制作Lv60·秘籍3,1,41672524
19,死亡报告,黑衣森林南部林区,x25y20,艾·乌纳·科特罗,格尔莫拉陶器碎片10个,,2,482633510
19,斩,奥丁歼灭战,,,一定几率掉落陈旧乐谱,炼金制作Lv50·秘籍4,3,28409410
19,战乱,金蝶游乐场,x5y6,纪念品兑换员,30000金蝶币,,4,34274378
19,祈祷之歌,各国公寓大厅,,杂用商人,5000金,,5,27586681
20,乘上西风,利姆萨·罗敏萨下层甲板,x10y11,班戈·赞戈,5000金,,1,28409307
20,圣座,圣教中枢 伊修加德教皇厅,,,一定几率掉落成品乐谱,,2,41672517
20,无尽苍空,俾斯麦歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv60·秘籍1,3,41672521
20,螺旋,金蝶游乐场,x5y6,纪念品兑换员,30000金蝶币,,4,28409412
20,永远的离别,,,,主线「永远的毕业生」报酬,,5,28409361
21,沉静,格里达尼亚新街,x11y11,麦森塔,5000金,,1,28409320
21,尘沙,,,,支线「天山深境 索姆阿尔灵峰」报酬,,2,27586630
21,灾厄狂起,俾斯麦歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv60·秘籍1,3,41672522
21,以太圈,田园郡,x5y5,贝尔塔纳,玛哈古钱x1,,4,41672532
22,灼热之地,乌尔达哈现世回廊,x10y9,劳力士,5000金,,1,28409285
22,另一块砖,,,,主线「终结来临」报酬,,2,482633540
22,武神降临,罗波那歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv60·秘籍1,3,41672507
22,虚无之棺,田园郡,x5y5,贝尔塔纳,玛哈古钱x1,,4,41672534
23,拉诺西亚的疾风,水城 宝物库,,,宝箱,,1,27586622
23,不屈之刃,罗波那歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv60·秘籍1,3,41672508
23,雨中泪,田园郡,x5y5,贝尔塔纳,玛哈大古钱x1,,4,482636424
24,大地低语,水城 宝物库,,,宝箱,,1,27586627
24,无限,祖尔宛歼殛战,,,一定几率掉落陈旧乐谱,炼金制作Lv60·秘籍2,3,482636463
24,千面,田园郡,x5y5,贝尔塔纳,玛哈大古钱x1,,4,482633505
25,萨纳兰的黄昏,水城 宝物库,,,宝箱,,1,537615
25,希望之地,,,,支线「影之国」报酬,,4,482636460
26,库尔札斯的寂静,水城 宝物库,,,宝箱,,1,27586637
26,泡影,,,,支线「影之国」报酬,,4,482633538
27,贵族沉眠,伊修加德砥柱层,x6y10,芙莉妮,5000金,,1,41672496
28,夜雾缭绕,伊修加德砥柱层,x6y10,芙莉妮,5000金,,1,41672519
29,天上世界,阿巴拉提亚云海,,,参加A或S怪物狩猎，一定几率获得陈旧乐谱,炼金制作Lv60·秘籍1,1,41672502
30,熏灰,南萨纳兰,x23y14,蜥蜴人杂用商人,白钢刀币x3,,1,28409335
31,豁达的家,阿巴拉提亚云海,x7y14,商人鲁纳瓦努,白骨币x3,,1,28409335
32,安乐小屋,森海沙各主城贩卖,,,5000金,,1,27586643
33,倒影,摩杜纳,x22y6,奥里亚娜,1000诗学,,1,28409378
34,心灵的归处,各住宅区和公寓大厅,,,5000金,,1,27586653
35,家园,田园郡,x6y7,杂用商人,5000金,,1,41672528
36,小小捣蛋鬼,黑衣森林东部林区,x22y26,妖精杂用商人,金叶币x3,,1,28409346
37,离群一族,,,做买卖/,伪黑铜币x3,,1,482636403
38,边境,摩杜纳,x22y6,奥里亚娜,1000诗学,,1,28409377
39,一瞬的光彩,东萨纳兰,跨天桥,茶茶姆恩,5000金,FATE「跨天桥的英雄」3连胜利时贩卖,1,28409373
40,海风飘香,西拉诺西亚,x26y26,杂用商人,5000金,,1,28409311
41,厚于利刃,各军团大厅,,,,,1,34274386
99,啪啪呀,,,,彩蛋节2017,,6,34274370
99,红莲节,,,,红莲祭2017,,6,34274385
99,Heavensward　-飞向苍穹-,,,,新生祭2017,,6,41672488
99,守护天节,,,,守护天节2017,,6,27586670
99,彻夜狂欢,,,,守护天节2017,,6,482636446
99,星芒节,,,,星芒祭2017,,6,27586671
99,降神节,,,,降神祭2018,,6,27586668
42,スカイロード,翻云雾海,,,参加A或S怪物狩猎，一定几率获得陈旧乐谱,,1,41672514
43,静寂の星空,龙堡内陆低地,,,参加A或S怪物狩猎，一定几率获得陈旧乐谱,,1,41672529
44,铁壁之外,基拉巴尼亚边区,,,,FATE「树人长老——奇尔尼斯」金牌掉落,1,
45,火焰之海,红玉海,,,,FATE「做梦的大名——大名观梦螺」金牌掉落,1,
46,沉没于天际,各军团大厅,,,300兵团徽章,,1,
47,隐忍之刃,东拉诺西亚,x20y20,杂用商人,5000金,,1,34274399
48,汇集的海风,,,,宝箱,,1,27586620
49,喧嚣的树丛,,,,宝箱,,1,27586626
50,交错的命运,,,,宝箱,,1,27586632
23,有毒植物,草木庭园 圣茉夏娜植物园,,,一定几率掉落成品乐谱,,2,41672530
24,恐书症,秘本宝库 迦巴勒幻想图书馆,,,一定几率掉落成品乐谱,,2,482636447
25,启示,须佐之男歼殛战,,,一定几率掉落陈旧乐谱,,3,
26,阴谋美计,吉祥天女歼殛战,,,一定几率掉落陈旧乐谱,,3,509330657
21,宝石,,,,云海探索 鉴定上锁的宝箱,,5,41672503
22,向胜利冲锋,,,,主线「出人意料的帮手」报酬,,5,482636450
23,帝国的意志,,,,主线「启动欧米茄」报酬,,5,27586715
24,钢铁理念,,,,主线「启动欧米茄」报酬,,5,27586716
25,环境音:涛声,各住宅区和公寓大厅,,,5000金,,5,
26,环境音:鸟鸣,各住宅区和公寓大厅,,,5000金,,5,
27,环境音:雨声,各住宅区和公寓大厅,,,5000金,,5,
28,环境音:蝉鸣,各住宅区和公寓大厅,,,5000金,,5,
51,帝国之威,,,,主线「复仇与正义」报酬,,1,
52,神拳之痕,,,,主线「动乱的征兆」报酬,,1,
53,冲击,神拳痕,,艾恩娜,1600真理,,1,
54,红色黎明,运河宝物库深层,,,宝箱,,1,
55,登高远望,神拳痕,,工票交易员,400生产红票,,1,
56,盐与苦难之歌,神拳痕,,工票交易员,400采集红票,,1,
57,光宗耀祖,运河宝物库深层,,,宝箱,,1,
58,硬甲,碧玉水,,,珊瑚币x3,,1,
25,打开的玉手箱,海底宫殿 紫水宫,,,一定几率掉落成品乐谱,,2,
26,英雄未成,试炼行路 巴儿达木霸道,,,一定几率掉落成品乐谱,,2,
27,策谋,恶党孤城 黄金阁,,,一定几率掉落成品乐谱,,2,
28,离乡,沉没神殿 斯卡拉遗迹,,,一定几率掉落成品乐谱,,2,
27,神龙见首,神龙梦幻歼灭战,,,一定几率掉落陈旧乐谱,,3,
28,神龙见尾,神龙梦幻歼灭战,,,一定几率掉落陈旧乐谱,,3,
27,三等分,失落之都 拉巴纳斯塔,,,一定几率掉落成品乐谱,,4,22773231
28,桥上之战,失落之都 拉巴纳斯塔,,,一定几率掉落成品乐谱,,4,34478864
29,阿尔蒂玛优雅形态,失落之都 拉巴纳斯塔,,,一定几率掉落成品乐谱,,4,22773229
30,主人公主题曲,失落之都 拉巴纳斯塔,,,一定几率掉落成品乐谱,,4,518863262
31,背景故事,失落之都 拉巴纳斯塔,,,一定几率掉落成品乐谱,,4,
29,环境音:虫鸣,各住宅区和公寓大厅,,,5000金,,5,
30,环境音:篝火,各住宅区和公寓大厅,,,5000金,,5,
31,环境音:晨间厨房,各住宅区和公寓大厅,,,5000金,,5,
32,烈羽争锋,狼狱停船场,x4y6,物资负责人,10000狼印战绩,,5,
99,纯爱之吻,,,,恋人节2018,,6,
99,超级虹彩战队Z,,,,红莲祭2018,,6,
99,生死答问 - 回响,,,,新生祭2018,,6,
99,Stormblood　-血雨狂潮-,,,,新生祭2018,,6,
99,星芒之门,,,,星芒祭2018,,6,
100,究极神兵（交响乐版）,,,,「Eorzean Symphony」特典,,6,525120032
100,英杰（交响乐版）,,,,「Eorzean Symphony」特典,,6,525122031
59,红色夜阑,运河宝物库深层,,,,,1,
60,深宵之海,神拳痕,,艾恩娜,万物1600,,1,
61,母以子贵,运河宝物库深层,,,,,1,
62,升起于地平,神拳痕,,艾恩娜,万物1600,,1,
63,边防卫士,基拉巴尼亚边区,,,魔金锡币交换x3,,1,
64,黒闇と白雪,库尔札斯西部高地,,,参加A或S怪物狩猎，一定几率获得,,1,
65,天晴大鯰音頭,太阳神草原,X:5.8 Y:23.4,ギョショウ,ナマズオ小判x1,,1,
29,豹头环眼,修行古刹 星导寺,,,一定几率掉落成品乐谱,,2,
30,自由或是死亡,鏖战红莲 阿拉米格,,,一定几率掉落成品乐谱,,2,
31,鬼岛,红玉火山 狱之盖,,,一定几率掉落成品乐谱,,2,
32,坚不可摧（身心二元）,疯狂战舰 无限回廊,,,一定几率掉落成品乐谱,,2,
33,古の都,神圣遗迹 无限城市街古迹,,,一定几率掉落成品乐谱,,2,
34,月亮門,解放决战 多玛王城,,,一定几率掉落成品乐谱,,2,
35,地風水,風水霊殿 ガンエン廟,,,一定几率掉落成品乐谱,,2,
29,天雷,白虎诗魂战,,,一定几率掉落陈旧乐谱,,3,
30,天风,白虎诗魂战,,,一定几率掉落陈旧乐谱,,3,
31,月下美人,極ツクヨミ討滅戦,,,一定几率掉落陈旧乐谱,,3,
32,月下彼岸花,極ツクヨミ討滅戦,,,一定几率掉落陈旧乐谱,,3,
32,破碎,水晶塔 希尔科斯塔,,,一定几率掉落成品乐谱,,4,
33,ワールドマップ,,,,主线「怪奇と幻想の島」报酬,,4,
34,A Chapel,,,,主线「封じられた聖塔 リドルアナ」报酬,,4,
35,ギルヴェガンの謎,封じられた聖塔 リドルアナ,,,一定几率掉落成品乐谱,,4,
36,Apoplexy,封じられた聖塔 リドルアナ,,,一定几率掉落成品乐谱,,4,
37,剣の一閃,封じられた聖塔 リドルアナ,,,一定几率掉落成品乐谱,,4,
33,ライバルウィングズ,狼狱停船场,x4y6,物资负责人,10000狼印战绩,,5,
34,环境音:小河流水,各住宅区和公寓大厅,,,5000金,,5,
35,环境音:街市嘈杂,各住宅区和公寓大厅,,,5000金,,5,
36,环境音:寺院钟鸣,各住宅区和公寓大厅,,,5000金,,5,
37,环境音:教堂钟鸣,各住宅区和公寓大厅,,,5000金,,5,
38,凯严主题曲　～红莲～,,,,主线「曙光微明」报酬,,5,
39,五郎八,,,,主线「四聖獣奇譚 鬼の棲む島」报酬,,5,
40,惬意,金碟游乐场,,霞,5000金,,5,
41,永远的碎片,各住宅区和公寓大厅,,,5000金,,5,
42,复仇的怒嚎,金蝶游乐场,x5y6,纪念品兑换员,50000金蝶币,,5,
43,呐喊,金蝶游乐场,x5y6,纪念品兑换员,50000金蝶币,,5,
44,紅蓮のプレリュード,,,,成就「旋律的沉醉者6」报酬,,5,
45,邪风飒飒,,,,エウレカ：アネモス帯 ロックボックス鉴定,,5,
46,手下无情,,,,エウレカ：アネモス帯 ロックボックス鉴定,,5,
47,そよぐ風鈴,各住宅区和公寓大厅,,,5000金,,5,
48,海中の音,,,,潜水艇探索,,5,
49,勝利か死か,,,,多玛飞地贩卖,,5,
99,塞壬的歌声,,,,2019女儿节,,6,
