大图编码,小图编码,版本,名称,中国区获得方法,国际服获得方法,说明
068521.tex,004521.tex,2.x,盗龙小宝,"黑衣森林南部林区：红腹蜂巢里的商人
FATE红腹蜂巢占领作战胜利后出售
贩卖价格：2400金币",,人工孵化出的盗龙幼崽。埋枝村的商人发现哥布林族饲养盗龙作家畜后，也试着人工养殖出来的成果。把它养大的话应该能成为可靠的伙伴。牙还没长齐也喜欢咬来咬去。
068522.tex,004522.tex,2.x,小蝙蝠,"拉诺西亚高地：诺诺卢恩
猎犬同盟驻扎地内FATE发生后一定时间出售
贩卖价格：2400金币",,梅梅卢恩商会的商人诺诺卢恩售卖的小蝙蝠。卖的时候他宣称这小蝙蝠新鲜可口，但外表却完全看不出这点。不过好处是带上它就会让人有种成为了吸血鬼的感觉。
068523.tex,004523.tex,2.1,树苗精,陈旧的巨蟾蜍革地图（G3）,,外形就是一个球根的草本魔物。因为对肥沃土壤和丰富阳光的追求，会用根当作脚来移动。如果掉进了沟坎或弃置的木箱里，就没法靠自己脱身了。
068524.tex,004524.tex,2.x,灰尘兔,"摩杜纳：奥里亚娜（x22，y6）
7诗学兑换",,魔石精的幼体。因为牙齿还没长好，吃不了较硬的矿石，以沙粒和小石子为食。“灰尘兔”是根据它那满身灰尘的样子起的昵称。最喜欢的是材质柔软的宝石。
068525.tex,004525.tex,2.x,无头骑士模型,Lv50 铸甲制作,,模仿妖异“无头骑士”的外形制作的魔法人偶。无头骑士其实是一种没有实体的妖异，附在板金铠之类的东西上才能在物质界活动。而这个人偶的肚子里则是填满了机械部件，盔甲就是用来掩饰这些的。
068526.tex,004526.tex,2.x,巨蝌蚪,"捕鱼获得
东萨纳兰：火墙",,在萨纳兰的水边钓到的巨蟾蜍幼体。过段时间应该就会开始长脚，慢慢长成一只巨蟾蜍了吧。但要是看它长大了就丢掉的话，周边要是有人失踪可就都是你的错了，所以一定要负起责任一直养下去啊！
068527.tex,004527.tex,2.x,胖墩跳蜥,"Lv39FATE：归来的复仇者 史特洛佩斯
库尔札斯中央高地(X15，Y20)
金牌奖励",,跳蜥的幼体。这只小动物的故乡是库尔札斯地区，在它即将成为独眼巨人史特罗佩斯的盘中餐时，被冒险者救了下来。在它长大爆发野性之前，大概都不会忘记冒险者的恩情吧……
068528.tex,004528.tex,2.1,小牛犊,完成任务Lv50「收拾沙之家的行李」后获得,,住在沙之家的仓库一角的小水牛，直到搬迁时才被发现。因为不知道主人是谁，被交给冒险者来照顾。看起来肉质很鲜嫩。
068529.tex,004529.tex,2.x,幼小仙人掌,完成任务Lv47「尸念之情」后获得,,幼小的仙人掌。僵尸哈布一直以为它是仙人掌1号和2号的孩子，但实际上，它却是仙人掌3号和2号之间年轻时犯下的错误所造成的后果……
068530.tex,004530.tex,2.x,小壳蟹,"Lv32FATE：死亡的假面 黄道巨蟹
东拉诺西亚(X30，Y34)
金牌奖励",,小小的螃蟹。在鲜血滨的海边休息时，被卷进了冒险者和魔物的战斗，被踩了一脚后失去了意识。战斗之后被当成战利品带回来饲养。每天都在横行霸道。
068531.tex,004531.tex,2.x,小亮眼,购买月卡累积满足2个月,,年幼的妖异“冥鬼之眼”。根据妖异学者的研究，这种妖异的幼体好像是从成熟个体的泪水中诞生的，这说法尚未得到验证。因为一直不眨眼，把它带在身后的话有可能会被盯得浑身不自在。
068532.tex,004532.tex,2.x,渡渡鸟雏,"摩杜纳：奥里亚娜（x22，y6）
7诗学兑换",,原产自马兹拉雅岛的渡渡鸟的雏鸟。因为除去了毒腺，无法再喷毒气。越长越圆，看起来就很好吃，如果将来下蛋的话也是个很好的食材来源。它的成长真是很令人期待。
068533.tex,004533.tex,2.x,矿爬虫虫,"采矿获得，ET9:00
东萨纳兰：LV50未知的矿场",,矿爬虫的幼虫。为了成长所需的矿物质，成天都吸附在岩石上不肯离开。在矿爬虫栖息的区域里，采矿时经常就能发现这些贪婪的幼虫。
068534.tex,004534.tex,2.x,小山羊玩偶,Lv50 裁衣制作,,模仿山羊外形的魔法人偶。在库尔札斯的民间传说里，山羊经常被描绘成贪吃的形象，但在沙漠之民之间却象征着富贵。因此在有孩子出生时，为了表示希望他将来富贵腾达，有着赠予大山羊玩偶的风习。
068535.tex,004535.tex,2.28,幼碧企鹅,完成成就「见多识广的探索者」,,碧企鹅的幼鸟。米莉丝与乔纳森为了对冒险者的探索成就表达敬意而特别献上的礼物。说来米莉丝与冒险者所邂逅的地方也正好是在碧企鹅瀑布来着，不过这只小鸟对这些情况都一无所知啦。
068536.tex,004536.tex,2.x,发芽小猩猩,完成Lv33任务：「人的命运，酒的命运」后获得,,古菩猩猩的幼崽。还在发育期，头顶的植物才刚刚发芽。作为一种食量巨大的魔物，喂养它长大需要消耗的食物量不计其数，掂量下钱包吧。
068537.tex,004537.tex,2.x,一口小果冻,Lv50副本「神灵圣域放浪神古神殿」掉落,,小小的软糊怪。这种生物会分裂增殖，如果将它收在容器里，打开时就会发现被它们填满了。据说它的祖先不是紫色，而是黑色的。
068538.tex,004538.tex,2.x,魔导先锋追踪型,Lv50 雕金制作,,雕金匠行会引以为豪的大比例模型第一弹。以1/9的比例完美再现了加雷马帝国的无人机魔导先锋追踪型。该包装没有附带帝国驾驶员。
068539.tex,004539.tex,2.x,恶魔砖块,Lv50副本「邪教驻地无限城古堡」掉落,,施加了魔法而变得可动的方块。好像是古代无限城里的见习妖术师们制作的练习作品。他们通过在这样的小砖块上进行修行，最终做出了整面墙壁大小的恶魔墙。
068540.tex,004540.tex,2.3,大头小鼹鼠,完成任务：「鼹鼠的秘密」后获得,,在王立娜娜莫菜园捕获到的鼹鼠幼崽。被博物学家马尔塞特当做实验体来证明自己的学说，遭了很长时间的罪。现在和冒险者非常亲近，但是完全没有意识到是谁杀掉了自己的生母。
068541.tex,004541.tex,2.x,睡羊羊,2015年「降神祭」奖励,2014年「降神祭」奖励,在降神节期间遇到的小羊。因为违背主人的命令导致生命垂危，后来在冒险者引发的奇迹下重新恢复了活力，不过却也失去了原本的魔法之力。今后再也不用被当做军用实验品了。
068542.tex,004542.tex,2.x,小小蔓德拉,"园艺获得，ET21:00
黑衣森林东部林区：LV50未知的草场",,蔓德拉的幼体。在绿地丰富的地方除草时，偶尔会发现刚发芽的幼小蔓德拉。如果硬把它从土里拔出来的话，发出的嚎叫声可能会让人发狂。除草时一定要多加注意。
068543.tex,004543.tex,2.3,哥布林玩偶,积分兑换平台限时兑换,累积充值450天,仿照哥布林英雄布雷福洛克斯而制作的魔法人偶。原本是用于宣传其各种伟大事迹的，可是不知道为什么刻上了科学家集团“青蓝之手”的标记。
068544.tex,004544.tex,2.x,手指光标,官方活动奖励,累积充值30天,据说是模仿了古神造型的魔法人偶。某个哥布林的神学者在烂醉之后宣称这个世界是编号第14的世界，在最初的那个世界里，万物主宰的姿态就是个指指点点的白色手套。
068545.tex,004545.tex,2.x,无敌号模型,完成Lv15任务：「海之都与森之都」、「海之都与沙之都」、「森之都与沙之都」后获得,,飞空艇的模型。原型是高风飞行社的创始人塔塔诺拉建造的无敌号飞空艇，因为这艘船沿用了大型船只的设计，最终根本不能飞，浪费了大量的钱财，也是一段传说了。
068546.tex,004546.tex,2.x,卢恩人玩偶,Lv50 裁衣制作,,以利姆萨·罗敏萨著名的卢恩族街头艺人扎扎卢恩为原型的魔法人偶。扎扎卢恩虽然红极一时，但最后却欠下一身债务。他后来为生活所迫，将自己的肖像使用权卖给了裁衣匠行会。
068547.tex,004547.tex,2.x,发条卫月,积分兑换平台限时兑换,,模仿卫月造型的魔法人偶。曾经有个莽撞的音乐家想要去挡住卫月，结果自然是灰飞烟灭。雕金匠行会为了对他表示哀悼，制作了这个魔法人偶。内部材质不明。
068548.tex,004548.tex,2.x,巧儿黑陆行鸟,积分兑换平台限时兑换,,小巧可爱的陆行鸟雏鸟。孵化出来时本来是黄色的，但是某天却被一个戴着银色首饰的男人染成了黑色。从那时起就作为黑陆行鸟生活了，最喜欢曼波舞曲。
068549.tex,004549.tex,2.1,妖精娃娃,"要求妖精族声望到达：信赖
贩卖价格：25000金币",,模仿妖精族外形的魔法人偶。材质是上等的妖精绢布，上面还施加了妖精族的独特咒文。外表非常可爱，好像是仿照着刚出生不久的“神子”来做的。
068550.tex,004550.tex,2.1,小狼,完成任务Lv15「拯救小狼犬」后获得，前置任务「海港的野兽们」,,被救下的小狼。血统纯正，是接受过正规军用训练的战狼的后代，自信而听话，是值得信赖的好伙伴。漆黑的王狼是它的偶像，期待着在战场上大展身手。
068551.tex,004551.tex,2.1,粘液胶,Lv50副本「骚乱坑道铜铃铜山」掉落,,其实就是被打散了的粘液怪。在挖掘工程中的污水池里自然产生的魔物，是采矿工们非常忌惮的对象。但是也有某部分奇怪爱好的人觉得粘液怪很有个性很可爱。
068552.tex,004552.tex,2.1,长须小豹,完成任务Lv15「魔兽守护之物」后获得，前置任务「海港的野兽们」,,傲气的长须豹的幼崽。在被猎犬逼入绝路时得到了冒险者的救助，从而把冒险者当成了妈妈。因为幼小还没有长出胡须，但是在面对冒险者的敌人时，也会毫不留情地用豹爪来迎战。
068553.tex,004553.tex,2.1,冬贝利玩偶,陈旧的野猪革地图（G4）,,模仿冬贝利的外形制作的魔法人偶。虽然看着很可爱，但在制作时也注入了很强的怨念。因此，在主人睡着时会擅自动起来，并且拿手里的菜刀捅主人肚子，万幸的是这菜刀也是布制的。
068554.tex,004554.tex,2.1,蜥蜴人玩偶,"要求蜥蜴人族声望到达：信赖
贩卖价格：25000金币",,模仿蜥蜴人族外形的魔法人偶。是灰党的锻铁匠纳尔基·冬参考冒险者带去的自走人偶后制造出来的。虽然是做来玩的，却也贯彻着灰党追求至强的精神，是一个坚强的战士。
068555.tex,004555.tex,2.1,巨像丙,未知,2014年DQ10联动奖励,在艾欧泽亚出现了未知的巨像兵，前去调查的人发现了这只小家伙，看它好像很想成为同伴就收留了它。巨像丙是当时给它取的昵称。
068556.tex,004556.tex,2.1,香托托人偶,未知,2014年FF11联动奖励,黑色恶魔留下的魔法人偶，气派非凡。制作者在其中灌输了强大的魔力，让它能够像活物一样自由行动。如果将它丢弃的话好像会遭到诅咒，请切记。
068557.tex,004557.tex,2.1,艾德薇雅人偶,道具商城购买,莫古站商城购买,人偶的原型是索恩朝时代的艾德薇雅公主。是为了在女儿节期间开办的公主人偶大赛上展出而制作的。和它的原型一样，对外面的世界充满了好奇心。
068558.tex,004558.tex,2.1,光之战偶,购买月卡累积满足6个月,累积充值180天,以古代的“光之战士”为原型的魔法人偶。在传说里，世界被黑暗笼罩时，突然出现了一群拥有各种能力的年轻人，据说他们在拯救了这个世界后就返回了他们的世界。留下的只有他们给万物带来的光芒……
068559.tex,004559.tex,2.1,袖珍领袖,2015年中秋登陆活动奖励,累积充值270天,各城邦的大国防联军为了进行宣传而制作的魔法人偶，颁发给了对组织有突出贡献的人。原型就是各自的领袖：黑涡团的梅尔维布提督、恒辉队的劳班局长、双蛇党的嘉恩·艾·神纳。
068560.tex,004560.tex,2.1,巧儿陆行鸟王子,"完成成就：「令人铭记2」后获得
成就条件：累积获得50次最优队员推荐",,小巧可爱的陆行鸟小王子。据说是继承了伊修加德的陆行鸟之王的血脉。它正在寻找有名的冒险者，并判断对方是不是有资格乘坐自己。
068561.tex,004561.tex,2.2,夺心小魔,"战斗仆人：平地G13；采矿仆人：山岳G13；园艺仆人：森林G13；捕鱼仆人：水岸G13
Lv50副本「腐坏遗迹无限城市街古迹」掉落",,雇员捡回来的奇怪生物。还挺亲近对它好的人。但根据妖异学者所说，它好像是以死者遗骸为媒介来到物质界的妖异夺心魔的幼体，会以人的精神为食。有种不可名状的恐怖……
068562.tex,004562.tex,2.4,不说话的蜂鸟,Lv50副本「逆转要害沙斯塔夏溶洞」掉落,,麦迪逊船长所饲养的蜂鸟。虽然腹部受伤很严重，不过借由水神之力与主人一起重新复活，并卷土重来回到了沙斯塔夏溶洞。因为现在再也没必要称赞船长了，所以几乎不怎么说话了。
068563.tex,004563.tex,2.2,地灵娃娃,"要求地灵族声望到达：信赖
贩卖价格：25000金币",,模仿地灵族外形的魔法人偶。实际上是第789团辅祭巴戈为了让敌人大意而制造的人形炸弹。因为第789团商人随意地给拿来当作商品，所以肚子里面的危险炸弹并没有被拆除。
068564.tex,004564.tex,2.2,鱼人玩偶,"要求鱼人族声望到达：信赖
贩卖价格：25000金币",,模仿鱼人族外形的魔法人偶。诺布一伙的兄长们造出来给弟弟们玩的东西。手中持有捕鱼用的三叉戟，将鱼人族战士的形貌表现得惟妙惟肖。但是不能下水。
068565.tex,004565.tex,2.2,发条太阳,西拉诺西亚：幻影群岛(X12，Y36)，魔法罐用圣灵药进行交换,,可以用“戳指”来调整其高度的发光灯。因为乌尔达哈的某位贵妇感觉强光可以掩饰自己脸上的小皱纹，所以非常想要一个可以始终浮在空中的自动发光器。这个小太阳就是炼金术士行会为此而做的。
068566.tex,004566.tex,2.2,软软垫子,Lv50 裁衣制作,,裁衣匠行会制作的最高级软垫。由号称对屁股感受最有研究的裁衣匠行会会长雷多伦特·罗斯亲自缝制，据说坐上去的感受舒服无比。
068567.tex,004567.tex,2.2,光之战士,积分兑换平台限时兑换,累积充值360天,以传说中的光之战士为原型的魔法人偶，身披青蓝战甲。制作这套战甲时，雕金匠行会参考了最近在水晶塔出土的古代亚拉戈风格的骑士铠。
068568.tex,004568.tex,2.2,奥丁战偶,积分兑换平台限时兑换,累积充值360天,以在黑衣森林里出现的斗神奥丁为原型的人偶。手里的斩铁剑，胯下的爱马斯莱普尼尔都得到了完美还原。不过那斩铁剑其实是竹子做的。
068569.tex,004569.tex,2.2,发条巴哈姆特,法外战区PVP大赛冠军队伍奖励,,从摔坏的发条卫月中出现的奇怪物体。制作发条卫月的雕金匠行会声称当初并没有在里面放进这样的东西。这个小东西的来历还真是充满了谜团。
068570.tex,004570.tex,2.2,奥猴宝宝,Lv50副本「纷争要地布雷福洛克斯野营地」掉落,,奥猴的幼崽。在觅食时进入了布雷福洛克斯野营地，并发现了哥布林奶酪，想吃的时候却没承受住奶酪的臭味而昏倒。因为被冒险者所救，而把冒险者看作恩人。
068571.tex,004571.tex,2.2,魔法扫帚,Lv50 刻木制作,,施加了魔法的扫帚。到处动来动去的进行打扫，但是因为前进的方向太随性，从来都没能打扫干净。但能让这么一个直立的棍状物体自由行动，上面蕴含的技术力其实非同一般。
068572.tex,004572.tex,2.2,莫古力娃娃,道具商城购买,,以莫古力族为原型的魔法人偶。据说是莫古力族在看到冒险者身边的自走人偶后，非常羡慕，于是就用魔法做出来的。和真的莫古力一样喜欢音乐，和同伴聚在一起的话就会自动围成一圈跳舞。
068573.tex,004573.tex,2.3,雏鸟祖,"10,000金碟币 兑换",,怪鸟祖的雏鸟。祖原本是在近东地区与艾欧泽亚之间随季节迁徙的鸟类，通常是在近东地区产卵。不过在灵灾之后艾欧泽亚的气候也变得适合它们产卵了。
068574.tex,004574.tex,2.35,鸟人玩偶,"要求鸟人族声望到达：誓约
贩卖价格：25000金币",,长风空力团的团员们学习人类的技术做出来的魔法人偶。参考了塔塔拉姆所带来的雕金匠行会的人偶，做出了又野性又邪气的成品。脾气简直和它的制作人们一个模子出来的。
068575.tex,004575.tex,2.3,梦魔娃娃,同盟徽章500 兑换,,某位被逮捕的雕金匠所持有的魔法人偶，看来这个人是真的被梦魔给吸引住了，甚至不惜打破禁忌企图召唤异界的妖异。
068576.tex,004576.tex,2.3,小小吉尔伽美什,购买月卡累积满足12个月,累积充值540天,某位艾欧泽亚最强的雕金匠在自己家里修理魔法人偶时顺便用多余材料制作的东西。外型和他儿子的好友一模一样。可能他在制作的时候会想请对方多多照顾自己的儿子？
068577.tex,004577.tex,2.3,洋葱王子,杂交获得,,在得知了自己的双亲结婚为了政治而不是为了爱情之后，洋葱王子立誓不会走上父母的老路，他将会与出身贫寒的韭菜女仆一起远走高飞。
068578.tex,004578.tex,2.3,茄子骑士,杂交获得,,茄子家族已经忠心耿耿地侍奉番茄王家18代了，从未有过丝毫违逆的举动，直到第19代骑士对蔓德拉王后……
068579.tex,004579.tex,2.3,蒜头明星,杂交获得,,一位旅行默剧演员的孩子，虽然继承了父亲“蒜头明星”的名号，但他却不想沿着父亲的路走下去。然而，因为自身的气味过于刺激，导致他无法成为一名骑士，只好干回了老本行。
068580.tex,004580.tex,2.3,番茄国王,杂交获得,,灵灾让番茄国王失去了他的全部领土，但是这位国王并没有抛弃他的雄心壮志。他带着大量的种子启程去寻找一块新的大地建立自己的王国，并且宣称任何球茎、块茎和主根都可以加入他的队伍。
068581.tex,004581.tex,2.3,蔓德拉王后,杂交获得,,命中注定要和一个非她所爱的人结合，蔓德拉王后没有任何一个夜晚不曾梦到过舍弃一切投身大海的怀抱。直至她看到了茄子骑士……
068582.tex,004582.tex,2.3,洋葱小骑士,Lv50副本「水晶塔：希尔科斯塔」掉落,,在水晶塔内发现的小型魔法人偶。拉姆布鲁斯认为这可能是古代亚拉戈帝国仿照洋葱亲卫队士兵的形象做出的玩具。人偶的脚下写着“鲁内斯”，不知道是玩偶的名字还是主人的名字。
068583.tex,004583.tex,2.3,宝宝箱,同盟徽章440 兑换,,原本是一名军人用来存放自己所获得的同盟徽章的，可是后来她发现存放到里面的徽章全都被宝箱给吃掉了。于是她卖掉了这个诡异的宝箱，以期望能够收回些损失。
068584.tex,004584.tex,2.3,小梦貘,战斗仆人：平地G14/G15/G16/G17,,东方的一种珍兽，有着能够吞食梦境的能力。据说当年在乌尔达哈曾经与睡衣的面料一起作为“安眠良品”配套出售。结果短时间内就被炒到了极高的价格。
068585.tex,004585.tex,2.3,娜娜珂小熊,Lv50 裁衣制作,,在大概80年前，乌尔达哈的娜娜珂公主有着一个想要亲眼看一看熊这种生物的愿望，可是人们找遍全国上下也没有找到真正的熊，于是雕金匠行会在娜娜珂公主的8岁生日时献上了一个手工的熊娃娃作为礼物。
068586.tex,004586.tex,2.3,发条矿车,采矿仆人：山岳G14/G15/G16/G17,,扭上发条就能够来回跑的小矿车。是艾玛吉娜矿山公司为了从小教育孩子们“劳动最光荣”而开发出来的玩具。有很多孩子非常珍惜这个小矿车，看来以后会成为一名出色的劳动者。
068587.tex,004587.tex,2.3,食果花鼠,鞣革制的隐藏地图（隐藏G1）,,探险家米莉丝·艾恩哈特在探索威尔布兰德岛的时候发现的一只小花鼠。据她说这只小花鼠为了寻找传说中的金帽橡果而在世界各地游荡。如果能和著名的探索家一起旅行是最好不过的了。
068588.tex,004588.tex,2.3,迷你敏菲利亚,道具商城购买,莫古站商城购买,冒险者行会为了庆祝艾欧泽亚的重生而设计的魔法人偶。以拂晓血盟的盟主敏菲利亚为模特。想想当年经常被她呼来喝去的，现在可以随时随地尽情招呼她了。
068589.tex,004589.tex,2.3,迷你桑克瑞德,道具商城购买,莫古站商城购买,冒险者行会为了庆祝艾欧泽亚的重生而设计的魔法人偶。以拂晓血盟的贤人桑克瑞德为模特。相信有很多迷恋或暗恋他的女性都会爱不释手。
068590.tex,004590.tex,2.3,淘气南加,Lv50副本「藏宝传说破舰岛」掉落,,宁基南加的幼崽，这种两栖类动物的雌性会把产下的蛋背在自己的背上，不过这只小南加好像是在母亲的背上打瞌睡的时候不小心掉下来的……
068591.tex,004591.tex,3.25,熊猫宝宝,2015年春节奖励,莫古站商城购买,桃源老师与其侍从艳丽小姐赠送的东方珍品。这是以名为熊猫的珍兽为原型而制作的魔法人偶。熊猫生活在东洲奥萨德次大陆的边境地区，据说其实是一种猛兽，但那圆润可爱的形象实在是很讨人喜欢，相信很快也会吸引住艾欧泽亚人的目光。
068592.tex,004592.tex,2.35,开创者人偶,"要求所有2.X系列所有蛮族声望到达：盟友
并完成任务「友谊地久天长」
贩卖价格：25000金币",,模仿蜥蜴人族历史上著名的太阳拳凯里古·秋所制作的人偶。据说他是蜥蜴人古武术的开创者，拳术能够发出太阳一般的光辉，在战场上从未尝过一败。即使是哈姆基·夏也对其十分敬重。
068593.tex,004593.tex,2.35,紫妖精娃娃,"要求所有2.X系列所有蛮族声望到达：盟友
并完成任务「友谊地久天长」
贩卖价格：25000金币",,模仿坏妖精外形所制作的魔法人偶。暂留地的妖精们设计出这个主要是为了对坏妖精进行恶作剧报复。为了让颜色更加逼真，他们尝试了很多种染料，最后终于选中了紫色的大头菜。
068594.tex,004594.tex,2.35,小小迪兹尔,"要求所有2.X系列所有蛮族声望到达：盟友
并完成任务「友谊地久天长」
贩卖价格：25000金币",,迪兹尔·库瓦兰既是一位伟大的工程师，也是赛兹尔·托托罗克的恩师。据说他曾经自己建造了一架超大型气球，并且乘着这架气球出发去寻找传说中的浮游大陆阿亚特兰，可惜从那之后杳无音讯。
068595.tex,004595.tex,2.35,地灵2号娃娃,"要求所有2.X系列所有蛮族声望到达：盟友
并完成任务「友谊地久天长」
贩卖价格：25000金币",,第789团辅祭巴戈开发出的新型炸弹，最大的特征是采用了和地灵族相似的外型，同时爆炸的威力也特别高。可是因为第789洞穴团的商人的擅自行事，这批危险的炸弹又返回到制作者的手中……
068596.tex,004596.tex,2.35,迷你海魔,"要求所有2.X系列所有蛮族声望到达：盟友
并完成任务「友谊地久天长」
贩卖价格：25000金币",,诺布老爹当初以红珊瑚海魔之名威震四海，不过现在却被他自己用来当做反面教材教育后代，为了能够更精妙地表现老爹当初的英勇形象，家族内的兄长们制作出了这个人偶。
